fichier;saison;competition;journee;date;domicile;exterieur;diffuseur;nom_cible;statut
BresciaJuventus 2003-04.jpg;2003-2004;Serie A;;;;;;;A VERIFIER
J10 Inter vs Reggina (Serie A 03-04) Sky.jpg;2003-2004;Serie A;10;;Inter;Reggina;Sky;;PARTIEL
J17 2003.04 Juventus Siena.jpg;2003-2004;Serie A;17;;Juventus;Siena;;;PARTIEL
J28 Inter vs Juventus (Serie A 03-04) Sky.jpg;2003-2004;Serie A;28;;Inter;Juventus;Sky;;PARTIEL
J28 Udinese vs Brescia (Serie A 03-04) Sky.jpg;2003-2004;Serie A;28;;Udinese;Brescia;Sky;;PARTIEL
J3 Brescia vs Reggina (Serie A 03-04) [GC Ita 576p].jpg;2003-2004;Serie A;3;;Brescia;Reggina;Gioco Calcio;;PARTIEL
J34 Parma vs Udinese (Serie A 03-04) Sky.jpg;2003-2004;Serie A;34;;Parma;Udinese;Sky;;PARTIEL
Milan vs Udinese (Serie A 03-04).jpg;2003-2004;Serie A;;;Milan;Udinese;;;PARTIEL
MILAN-ANCONA 2003-04 (RUS).jpg;2003-2004;Serie A;;;Milan;Ancona;;;PARTIEL
Parma vs Milan (Serie A 03-04).jpg;2003-2004;Serie A;;;Parma;Milan;;;PARTIEL
Perugia vs Milan (Serie A 03-04).jpg;2003-2004;Serie A;;;Perugia;Milan;;;PARTIEL
Reggina vs Milan (Serie A 03-04).jpg;2003-2004;Serie A;;;Reggina;Milan;;;PARTIEL
Serie A 03-04 AS Roma - FC Juventus 4 - 0 (Sky tv).jpg;2003-2004;Serie A;;;Roma;Juventus;Sky;;PARTIEL
Serie A 03-04 J1 Ancona - Milan 01.09.2003 (Gioco Calcio).jpg;2003-2004;Serie A;1;2003-09-01;Ancona;Milan;Gioco Calcio;2003-2004__serie-a__2003-09-01__ancona__milan__gioco-calcio.jpg;OK
Serie A 03-04 J10 Chievo vs Milan Serie A 03-04 (Milan Channel).jpg;2003-2004;Serie A;10;;Chievo;Milan;Milan Channel;;PARTIEL
Serie A 03-04 J11 Milan vs Modena 30.11.2003 (Foot+).jpg;2003-2004;Serie A;11;2003-11-30;Milan;Modena;Foot+;2003-2004__serie-a__2003-11-30__milan__modena__footplus.jpg;OK
Serie A 03-04 J11 Milan vs Modena 30.11.2003 (Sky).jpg;2003-2004;Serie A;11;2003-11-30;Milan;Modena;Sky;2003-2004__serie-a__2003-11-30__milan__modena__sky.jpg;OK
Serie A 03-04 J15 Roma vs Milan 06.01.2004 (Sky).jpg;2003-2004;Serie A;15;2004-01-06;Roma;Milan;Sky;2003-2004__serie-a__2004-01-06__roma__milan__sky.jpg;OK
Serie A 03-04 J16 Milan vs Reggina 11.01.2004 (Milan Channel).jpg;2003-2004;Serie A;16;2004-01-11;Milan;Reggina;Milan Channel;2003-2004__serie-a__2004-01-11__milan__reggina__milan-channel.jpg;OK
Serie A 03-04 J17 Brescia vs Milan 18.01.04 (Milan Channel).jpg;2003-2004;Serie A;17;2004-01-18;Brescia;Milan;Milan Channel;2003-2004__serie-a__2004-01-18__brescia__milan__milan-channel.jpg;OK
Serie A 03-04 J18  Milan vs Ancona 25.01.2004 (Sky).jpg;2003-2004;Serie A;18;2004-01-25;Milan;Ancona;Sky;2003-2004__serie-a__2004-01-25__milan__ancona__sky.jpg;OK
Serie A 03-04 J19 Bologna vs Milan 01.02.04 (Sky).jpg;2003-2004;Serie A;19;2004-02-01;Bologna;Milan;Sky;2003-2004__serie-a__2004-02-01__bologna__milan__sky.jpg;OK
Serie A 03-04 J2 Milan vs Bologna 13.09.2003 (Sky).jpg;2003-2004;Serie A;2;2003-09-13;Milan;Bologna;Sky;2003-2004__serie-a__2003-09-13__milan__bologna__sky.jpg;OK
Serie A 03-04 J2 Milan vs Bologna 13.09.2003 (Sport+).jpg;2003-2004;Serie A;2;2003-09-13;Milan;Bologna;Sport+;2003-2004__serie-a__2003-09-13__milan__bologna__sportplus.jpg;OK
Serie A 03-04 J20 Milan vs Perugia 08.02.2004 (Sky).jpg;2003-2004;Serie A;20;2004-02-08;Milan;Perugia;Sky;2003-2004__serie-a__2004-02-08__milan__perugia__sky.jpg;OK
Serie A 03-04 J21 Lecce-Milan 15.02.2004 (Sky).jpg;2003-2004;Serie A;21;2004-02-15;Lecce;Milan;Sky;2003-2004__serie-a__2004-02-15__lecce__milan__sky.jpg;OK
