🎬 Titre;📅 Année;🏷️ Type;🎯 Thème;🏟️ Club-sélection;👥 Personnages clés;Date diffusion;📺 Diffuseur;🗣️ Langue;Qualité;⏳ Durée (min);🎞️ Série-Collection;Commentaires sur fichier
Téléfoot - 16 septembre;1977;Magazine TV;Magazine football;;;16/09/1977;TF1;Français;;0;Téléfoot;
Téléfoot - 27 septembre;1980;Magazine TV;Magazine football;;;27/09/1980;TF1;Français;;0;Téléfoot;
Téléfoot - 31 janvier;1981;Magazine TV;Magazine football;;;31/01/1981;TF1;Français;;0;Téléfoot;
1982 France vs Allemagne - Séville - Les beaux perdants;1982;Documentaire;Club;France;;;;;;0;;
Téléfoot - 6 février;1983;Magazine TV;Magazine football;;;06/02/1983;TF1;Français;;0;Téléfoot;
Téléfoot - 14 août;1983;Magazine TV;Magazine football;;;14/08/1983;TF1;Français;;0;Téléfoot;
Téléfoot - du 9 décembre;1984;Magazine TV;Magazine football;;;09/12/1984;TF1;Français;;0;Téléfoot;
Campionato io ti amo - Saison 1983-1984;1984;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Téléfoot - 10 février;1985;Magazine TV;Magazine football;;;10/02/1985;TF1;Français;;0;Téléfoot;
Téléfoot - 17 mars;1985;Magazine TV;Magazine football;;;17/03/1985;TF1;Français;;0;Téléfoot;
Téléfoot - 29 septembre;1985;Magazine TV;Magazine football;;;29/09/1985;TF1;Français;;0;Téléfoot;
Campionato io ti amo - Saison 1984-1985;1985;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Téléfoot - (1985-oct);1985;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
1986 FIFA World Cup The Official Film;1986;Film officiel;Coupe du Monde (général), Coupe du Monde 1986, Sélections nationales;;;;;;;0;;
Campionato io ti amo - Saison 1985-1986;1986;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Dans le secret des bleus Coupe du Monde;1986;Documentaire;Coulisses, Coupe du Monde (général), Sélections nationales, Équipe de France;France;;;;;;0;;
L'épopée des Bleus la magnifique aventure 1978;1986;Documentaire;Équipe de France;France;;;;;;0;;
Campionato io ti amo - Saison 1986-1987;1987;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Téléfoot - 6 mars;1988;Magazine TV;Magazine football;;;06/03/1988;TF1;Français;;0;Téléfoot;
Téléfoot - 13 mars;1988;Magazine TV;Magazine football;;;13/03/1988;TF1;Français;;0;Téléfoot;
Campionato io ti amo - Saison 1987-1988;1988;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Téléfoot - Decembre 1989 Ballon d'Or Van Basten;1989;Magazine TV;Magazine football;;Marco van Basten;;TF1;Français;;0;Téléfoot;
Téléfoot - 4 juillet;1989;Magazine TV;Magazine football;;;04/07/1989;TF1;Français;;0;Téléfoot;
Téléfoot - 24 décembre;1989;Magazine TV;Magazine football;;;24/12/1989;TF1;Français;;0;Téléfoot;
OM - Le doublé 89;1989;Film officiel, Rétrospective;Club, Coupe de France, Ligue 1;Olympique de Marseille;;;CBS Fox;Français;;0;;
Téléfoot - (1989) (Sélection Ballon dOr);1989;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - 5 mai;1990;Magazine TV;Magazine football;;;05/05/1990;TF1;Français;;0;Téléfoot;
Téléfoot - 28 juillet;1990;Magazine TV;Magazine football;;;28/07/1990;TF1;Français;;0;Téléfoot;
Téléfoot - 29 juillet;1990;Magazine TV;Magazine football;;;29/07/1990;TF1;Français;;0;Téléfoot;
Téléfoot - 4 août;1990;Magazine TV;Magazine football;;;04/08/1990;TF1;Français;;0;Téléfoot;
Téléfoot - 19 août;1990;Magazine TV;Magazine football;;;19/08/1990;TF1;Français;;0;Téléfoot;
Téléfoot - 15 septembre;1990;Magazine TV;Magazine football;;;15/09/1990;TF1;Français;;0;Téléfoot;Fichier partiel
Campionato io ti amo - Saison 1989-1990;1990;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Le Club Mondial;1990;Magazine TV;Football;;;;TF1;Français;;0;;
Téléfoot - 19 mai;1991;Magazine TV;Magazine football;;;19/05/1991;TF1;Français;;0;Téléfoot;
Téléfoot - 26 mai;1991;Magazine TV;Magazine football;;;26/05/1991;TF1;Français;;0;Téléfoot;
Téléfoot - 5 octobre;1991;Magazine TV;Magazine football;;;05/10/1991;TF1;Français;;0;Téléfoot;Fichier incomplet
Campionato io ti amo - Saison 1990-1991;1991;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
OM 1991 - Partie 1;1991;Archive, Compilation;Club, Histoire du football;Olympique de Marseille;;;;;;0;;
OM 1991 - Partie 2;1991;Archive, Compilation;Club, Histoire du football;Olympique de Marseille;;;;;;0;;
19/20 - 2 juillet 1992 - La France organisera la Coupe du Monde 1998;1992;Archive TV;Coupe du monde 1998, Histoire du football, Organisation;France;Fernand Sastre, Michel Platini;02/07/1992;FR3;Français;;24;19/20;Le 2 juillet 1992, la FIFA attribue l'organisation de la Coupe du Monde 1998 à la France.
Formule Foot - 11 avril;1992;Magazine TV;Ligue 1, Magazine football;;;11/04/1992;TF1;Français;;0;Formule Foot;
Séquence + Formule Sport ( Complet);1992;Documentaire;Football;;;11/04/1992;TF1;Français;;0;;
Téléfoot - 30 août;1992;Magazine TV;Magazine football;;;30/08/1992;TF1;Français;;0;Téléfoot;
Téléfoot - 1 novembre;1992;Magazine TV;Magazine football;;;01/11/1992;TF1;Français;;0;Téléfoot;Fichier incomplet
Téléfoot - 6 décembre;1992;Magazine TV;Magazine football;;;06/12/1992;TF1;Français;;0;Téléfoot;Fichier incomplet
Campionato io ti amo - Saison 1991-1992;1992;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Téléfoot - 1992 (Euro92);1992;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - 1992 Euro92;1992;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
La méthode Guy Roux;1993;Documentaire;Club, Entraîneur, Portrait;AJ Auxerre;Guy Roux;;;;720p;0;;
Téléfoot - 21 février;1993;Magazine TV;Magazine football;;;21/02/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 2 mars;1993;Magazine TV;Magazine football;;;02/03/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 28 mars;1993;Magazine TV;Magazine football;;;28/03/1993;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 3 avril;1993;Magazine TV;Magazine football;;;03/04/1993;TF1;Français;;0;Téléfoot;Fichier incomplet
Téléfoot - 25 avril;1993;Magazine TV;Magazine football;;;25/04/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 2 mai;1993;Magazine TV;Magazine football;;;02/05/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 16 mai;1993;Magazine TV;Magazine football;;;16/05/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 23 mai;1993;Magazine TV;Magazine football;;;23/05/1993;TF1;Français;;0;Téléfoot;Fichier incomplet
OM - AC Milan (1-0) - Réactions et émission d'après match;1993;Documentaire;Club;AC Milan, Olympique de Marseille;;26/05/1993;;;;0;;
Le JT de 13h00 de TF1 avec les joueurs de L'OM le après la victoire en C1;1993;Archive TV, Émission spéciale;Club;Olympique de Marseille;;27/05/1993;TF1;Français;;0;;
Téléfoot - 13 juin;1993;Magazine TV;Magazine football;Paris Saint-Germain;;13/06/1993;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 18 septembre;1993;Magazine TV;Magazine football;;;18/09/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 2 octobre;1993;Magazine TV;Magazine football;;;02/10/1993;TF1;Français;;0;Téléfoot;
Téléfoot - 24 octobre;1993;Magazine TV;Magazine football;;;24/10/1993;TF1;Français;;0;Téléfoot;
France vs Bulgarie jamais vue (images exclusive);1993;Documentaire;Club;France;;17/11/1993;;;;0;;
JT France 2 20H du;1993;Archive TV, Émission spéciale;Football;;;18/11/1993;France 2;Français;;0;;
Campionato io ti amo - Saison 1992-1993;1993;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Champions League 92-93 - Olympique de Marseille;1993;Film officiel, Rétrospective;Club, Ligue des champions (général);Olympique de Marseille;;;TF1 Vidéo;Français;;70;;
France-Bulgarie 1993;1993;Documentaire;Football;;;;;;;0;;
Interieur Sport - France Bulgarie;1993;Documentaire, Magazine TV;Football;;;;Canal+;Français;;0;Intérieur Sport;
Ligue des champions 1992-1993 - Marseille - Milan;1993;Documentaire;Club, Ligue des champions (général), Ligue des champions 1992-1993;AC Milan, Olympique de Marseille;;;;;;0;;
OM 1993 - Ombre et lumière;1993;Documentaire;Affaires et scandales, Club, Histoire du football;Olympique de Marseille;;;L'Équipe;Français;;0;;Année harmonisée d'après le titre 
OM 93 - La légende;1993;Rétrospective;Club, Histoire du football, Ligue des champions (général);Olympique de Marseille;;;;Français;;0;;Titre et année déduits du nom du fichier
OM Les annees de gloires 1986-1993;1993;Documentaire;Club;Olympique de Marseille;;;;;;0;;
Téléfoot - (1992-1993 13ème journée);1993;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - (1993 oct);1993;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - 1992-1993 13ème journée;1993;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - 1993 (oct);1993;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - Olympique De Marseille;1993;Magazine TV;Magazine football;Olympique de Marseille;;;TF1;Français;;0;Téléfoot;
Téléfoot - Olympique De Marseille Milan;1993;Magazine TV;Club, Ligue des champions (général), Ligue des champions 1992-1993, Magazine football;AC Milan, Olympique de Marseille;;;TF1;Français;;0;Téléfoot;
David Ginola - PSG;1994;Documentaire;Carrière, Club, Portrait;Paris Saint-Germain;David Ginola;;;;;0;;Doublon/variante présent dans le fichier source
Téléfoot - Coupe du Monde 1994 - Extrait du 17 juillet 1994;1994;Archive TV, Magazine TV, Spécial compétition;Coupe du Monde (général), Coupe du Monde 1994, Magazine football, Sélections nationales;Brésil, Italie;Roberto Baggio, Romário;17/07/1994;TF1;Français;;0;Téléfoot;Nouveau dossier repéré dans l'inventaire plus complet. La date correspond à la finale Brésil-Italie
Terre de foot;1994;Documentaire;Football;;;01/01/1994;France 2;Français;;0;Terre de Foot;
Téléfoot - 3 janvier;1994;Magazine TV;Magazine football;;;03/01/1994;TF1;Français;;0;Téléfoot;
Téléfoot - 30 janvier;1994;Magazine TV;Magazine football;;;30/01/1994;TF1;Français;;0;Téléfoot;
Téléfoot - 2 avril;1994;Magazine TV;Magazine football;Olympique de Marseille;;02/04/1994;TF1;Français;;0;Téléfoot;
Téléfoot - 24 avril;1994;Magazine TV;Magazine football;Olympique de Marseille;;24/04/1994;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 1 mai;1994;Magazine TV;Magazine football;;;01/05/1994;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 15 mai;1994;Magazine TV;Magazine football;;;15/05/1994;TF1;Français;;0;Téléfoot;
Téléfoot - 22 mai;1994;Magazine TV;Magazine football;;;22/05/1994;TF1;Français;;0;Téléfoot;
Terre de foot;1994;Documentaire;Football;;;11/06/1994;France 2;Français;;0;Terre de Foot;
Journal 20H - 17 juillet 1994;1994;Archive TV, Documentaire;Football;;;17/07/1994;France 2;Français;;0;Journal de France 2;Titre technique « JA2 20H » harmonisé à partir de la date du fichier.
Téléfoot - 2 août;1994;Magazine TV;Magazine football;;;02/08/1994;TF1;Français;;0;Téléfoot;
Jour de Foot - 5 août;1994;Magazine TV;Ligue 1, Magazine football;;;05/08/1994;Canal+;Français;;0;Jour de Foot;
Téléfoot - 1 septembre;1994;Magazine TV;Magazine football;;;01/09/1994;TF1;Français;;0;Téléfoot;
Téléfoot - 4 décembre;1994;Magazine TV;Magazine football;;;04/12/1994;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Campionato io ti amo - Saison 1993-1994;1994;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
CM 1994 Tous les buts;1994;Compilation;Buts, Coupe du Monde (général), Coupe du Monde 1994, Sélections nationales;;;;;;;0;;
Film officiel Coupe du Monde;1994;Film officiel;Coupe du Monde (général);;;;;;;0;;Doublon/variante présent dans le fichier source
Première victoire de l'AJAuxerre en coupe de France;1994;Documentaire;Club, Coupe de France;AJ Auxerre;;;;;;0;;
Téléfoot - (1994) (titre de champion);1994;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - 1994 (titre de champion);1994;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - 1994 - Rétro Téléfoot de la saison;1994;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - avril 94 L'OM est officiellement rétrogradée en D2;1994;Magazine TV;Affaires et scandales, Club, Ligue 1, Ligue 2, Magazine football;Olympique de Marseille;;;TF1;Français;;0;Téléfoot;
Eurogoals - 15 janvier;1995;Magazine TV;Magazine football;;;15/01/1995;Eurosport;Français;;0;Eurogoals;
Téléfoot - 16 avril;1995;Magazine TV;Magazine football;;;16/04/1995;TF1;Français;;0;Téléfoot;
Téléfoot - 1 mai;1995;Magazine TV;Magazine football;Paris Saint-Germain;;01/05/1995;TF1;Français;;0;Téléfoot;
Téléfoot - 2 mai;1995;Magazine TV;Magazine football;;;02/05/1995;TF1;Français;;0;Téléfoot;
Téléfoot - 14 mai;1995;Magazine TV;Magazine football;Paris Saint-Germain;;14/05/1995;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 28 mai;1995;Magazine TV;Magazine football;;;28/05/1995;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 2 juillet;1995;Magazine TV;Magazine football;;;02/07/1995;TF1;Français;;0;Téléfoot;
Téléfoot - 3 juillet;1995;Magazine TV;Magazine football;;;03/07/1995;TF1;Français;;0;Téléfoot;
Formule Foot - 19 juillet;1995;Magazine TV;Ligue 1, Magazine football;;;19/07/1995;TF1;Français;;0;Formule Foot;
Téléfoot - 23 juillet;1995;Magazine TV;Magazine football;;;23/07/1995;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 30 juillet;1995;Magazine TV;Magazine football;;;30/07/1995;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 6 août;1995;Magazine TV;Magazine football;;;06/08/1995;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Foot Mundial;1995;Documentaire;Football;;;20/10/1995;RTBF;Français;;0;;
Téléfoot - 1 décembre;1995;Magazine TV;Magazine football;;;01/12/1995;TF1;Français;;0;Téléfoot;
Téléfoot - 10 décembre;1995;Magazine TV;Magazine football;;;10/12/1995;TF1;Français;;0;Téléfoot;
1995 Voici le Stade de France Archive INA;1995;Archive TV;Coupe du Monde (général), Coupe du monde 1998, Sélections nationales, Équipe de France;France;;;;Français;;2;;Archive INA.
Campionato io ti amo - Saison 1994-1995;1995;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
D2 Max - 1994-95 - J33;1995;Magazine TV;Ligue 1, Ligue 2, Magazine football;;;;Canal+;Français;;30;D2 Max;
Les Plus Beaux Buts de 1ère Division Française 1994-1995;1995;Compilation;Buts;;;;;;;0;;
Téléfoot - Coupe de France 1994-1995 - Parcours de Strasbourg;1995;Magazine TV;Club, Coupe de France, Magazine football;RC Strasbourg;;;TF1;Français;;0;Téléfoot;Nom d'uploader « Thewildbunch22 » retiré du titre.
Téléfoot - (1996 décembre Guy Roux);1996;Magazine TV;Entraîneur, Magazine football, Portrait;AJ Auxerre;Guy Roux;;TF1;Français;;0;Téléfoot;
Téléfoot - 1996 (décembre Guy Roux);1996;Magazine TV;Entraîneur, Magazine football, Portrait;AJ Auxerre;Guy Roux;;TF1;Français;;0;Téléfoot;
Téléfoot - Décembre 1996 Guy Roux reçoit son Onze d'or de meilleur entraîneur;1996;Magazine TV;Entraîneur, Magazine football, Portrait;AJ Auxerre;Guy Roux;;TF1;Français;;0;Téléfoot;
Téléfoot - 1 janvier;1996;Magazine TV;Magazine football;;;01/01/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 14 janvier;1996;Magazine TV;Magazine football;;;14/01/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 1 mai;1996;Magazine TV;Magazine football;AJ Auxerre;;01/05/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 12 mai;1996;Magazine TV;Magazine football;;;12/05/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 19 mai;1996;Magazine TV;Magazine football;;;19/05/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 1 août;1996;Magazine TV;Magazine football;;;01/08/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 11 août;1996;Magazine TV;Magazine football;;;11/08/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 8 septembre;1996;Magazine TV;Magazine football;;;08/09/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 29 septembre;1996;Magazine TV;Magazine football;;;29/09/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 2 octobre;1996;Magazine TV;Magazine football;;;02/10/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 6 octobre;1996;Magazine TV;Magazine football;;;06/10/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Téléfoot - 20 octobre;1996;Magazine TV;Magazine football;;;20/10/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 10 novembre;1996;Magazine TV;Magazine football;;;10/11/1996;TF1;Français;;0;Téléfoot;Doublon/variante présent dans le fichier source
Résumé Eliminatoires CdM 1998 - Europe;1996;Documentaire;Football;;;11/11/1996;Eurosport;Français;;0;;
Téléfoot - 1 décembre;1996;Magazine TV;Magazine football;;;01/12/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 8 décembre;1996;Magazine TV;Magazine football;;;08/12/1996;TF1;Français;;0;Téléfoot;
Téléfoot - 22 décembre;1996;Magazine TV;Magazine football;;;22/12/1996;TF1;Français;;0;Téléfoot;Fichier incomplet
Campionato io ti amo - Saison 1995-1996;1996;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;;0;Campionato Io ti amo;
D2 Max - 1995-96 - J37;1996;Magazine TV;Ligue 1, Ligue 2, Magazine football;;;;Canal+;Français;;30;D2 Max;
Jour de Foot - 1995-96 - J03;1996;Magazine TV;Ligue 1, Magazine football;;;;Canal+;Français;;0;Jour de Foot;
Téléfoot - (1996 à Auxerre);1996;Magazine TV;Magazine football;AJ Auxerre;;;TF1;Français;;0;Téléfoot;
Téléfoot - 1996 à Auxerre;1996;Magazine TV;Magazine football;AJ Auxerre;;;TF1;Français;;0;Téléfoot;
Téléfoot - novembre 1996 avec Gregory Wimbee qui a marqué un but contre Lens;1996;Magazine TV;Buts, Magazine football;RC Lens;;;TF1;Français;;0;Téléfoot;
Téléfoot - Téléfoot PSG Rapid de Vienne - Auxerre Champion - mai 1996 - YouTube;1996;Magazine TV;Magazine football;AJ Auxerre, Paris Saint-Germain;;;TF1;Français;;0;Téléfoot;
Cantona;1997;Documentaire;Carrière, Club, Portrait;France, Manchester United;Éric Cantona;;;;;0;;
Formule Foot - 22 mars;1997;Magazine TV;Ligue 1, Magazine football;;;22/03/1997;TF1;Français;;0;Formule Foot;
Formule Foot - 30 avril;1997;Magazine TV;Ligue 1, Magazine football;;;30/04/1997;TF1;Français;;0;Formule Foot;
Téléfoot - 25 mai;1997;Magazine TV;Magazine football;;;25/05/1997;TF1;Français;;0;Téléfoot;
Téléfoot - 8 juin;1997;Magazine TV;Magazine football;;;08/06/1997;TF1;Français;;0;Téléfoot;
Formule Foot - 15 août;1997;Magazine TV;Ligue 1, Magazine football;;;15/08/1997;TF1;Français;;0;Formule Foot;
Téléfoot - 14 septembre;1997;Magazine TV;Magazine football;;;14/09/1997;TF1;Français;;0;Téléfoot;
Campionato io ti amo - Saison 1996-1997;1997;Rétrospective;Histoire du football italien, Serie A;;;;Rai Sport;Italien;DVD;0;Campionato Io ti amo;
Formule Foot - 1996-97 - J35;1997;Magazine TV;Ligue 1, Magazine football;;;;TF1;Français;;0;Formule Foot;
L'OM - un siècle - une légende;1997;Film officiel, Rétrospective;Club, Histoire du football;Olympique de Marseille;;;TF1 Vidéo;Français;;0;;
Téléfoot - à Monaco pour le titre de champion de France;1997;Magazine TV;Magazine football;AS Monaco;;;TF1;Français;;0;Téléfoot;
Téléfoot - fête ses 20 ans en septembre;1997;Magazine TV;Histoire du football, Magazine football;;;;TF1;Français;;0;Téléfoot;
Téléfoot - JUIN;1997;Magazine TV;Magazine football;;;;TF1;Français;;0;Téléfoot;
Coupe du Monde 1998 - Le jour d'après;1998;Reportage, Émission spéciale;Coupe du monde 1998, Célébrations, Supporters, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;13/07/1998;TF1;Français;MP4;0;;Date de diffusion inférée du titre « Le jour d'après » après la finale du 12 juillet 1998.
La finale France-Brésil commentée par Aimé Jacquet;1998;Analyse, Archive TV;Analyse, Coupe du monde 1998, Finale, Équipe de France;Brésil, France;Aimé Jacquet, Didier Deschamps, Ronaldo Nazário, Zinedine Zidane;29/12/1998;Canal+;Français;MKV;0;La Nuit du Foot;Le nom indiquait 1999 
La Nuit du Foot - 29 décembre 1998;1998;Archive TV, Émission spéciale;Coupe du Monde (général), Coupe du monde 1998, Histoire du football, Sélections nationales;France;Aimé Jacquet;29/12/1998;Canal+;Français;MPG;0;La Nuit du Foot;Le fichier source est signalé avec une image tremblante.
Téléfoot - Coupe du Monde 1998 - Des huitièmes à la finale;1998;Magazine TV, Spécial compétition;Coupe du monde 1998, Magazine football, Phase finale, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Emmanuel Petit, Fabien Barthez, Ronaldo Nazário, Zinedine Zidane;;TF1;Français;MKV;0;Téléfoot;Compilation/émission Téléfoot couvrant la phase à élimination directe.
Téléfoot - Coupe du Monde 1998 - 1er tour;1998;Magazine TV, Spécial compétition;Coupe du monde 1998, Magazine football, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;TF1;Français;MKV;0;Téléfoot;Compilation/émission Téléfoot consacrée au premier tour.
Les yeux dans les bleus;1998;Documentaire, Reportage coulisses;Coulisses, Coupe du monde 1998, Vie de groupe, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Fabien Barthez, Laurent Blanc, Lilian Thuram, Zinedine Zidane;;Canal+;Français;MKV;157;Les Yeux dans les Bleus;Documentaire de Stéphane Meunier, au cœur du groupe France pendant le Mondial., produit par 2P2L
Les Yeux dans les Bleus - Bonus Tignes;1998;Bonus documentaire, Coulisses;Coulisses, Coupe du monde 1998, Préparation, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;Canal+;Français;AVI;0;Les Yeux dans les Bleus;Bonus consacré au stage de préparation à Tignes.
Coupe du Monde 1998 - Le parcours des Bleus;1998;Compilation, Rétrospective;Coupe du monde 1998, Parcours, Équipe de France;France;Aimé Jacquet, Didier Deschamps, Lilian Thuram, Zinedine Zidane;;Eurosport;Français;MP4;0;;Rétrospective Eurosport du parcours français.
