Match,Saison,Compétition,Phase,Journée,Date,Horaire,Domicile,Extérieur,Score,Buteurs,Stade,Diffuseur,Langue,Qualité,Type Compétition,Numéro match EDF,Numéro match Milan dans compétition,Commentaires sur fichier,Date ajout,Lien Transfermarkt,clé confrontation,Clé face à face
3758,1968-1969,Amical,,,02/04/1969,20:30,France Espoirs,Real Madrid,5-3,"C.Loubet, J.C.Lebras, H.Revelli x3,  Bueno x2, Gento",Parc des Princes (Paris),ORTF,Français,DVD,Amical,,,,06/05/2025 16:04,,France Espoirs - Real Madrid,France Espoirs|Real Madrid
3955,1977-1978,Coupe du Monde 1978,Groupes phase 1,1,01/06/1978,00:00,RFA,Pologne,0-0,,Estadio Monumental (Buenos Aires),Antenne 2,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981142,Pologne - RFA,Pologne|RFA
3956,1977-1978,Coupe du Monde 1978,Groupes phase 1,2,02/06/1978,22:45,Argentine,Hongrie,2-1,"K.Csapó, L.Luque, D.Bertoni",Estadio Monumental (Buenos Aires),Antenne 2,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981137,Argentine - Hongrie,Argentine|Hongrie
3957,1977-1978,Coupe du Monde 1978,Groupes phase 1,8,03/06/1978,01:45,Pays Bas,Iran,3-0,R.Rensenbrink x3,Estadio Ciudad de Mendoza (Mendoza),TF1,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981155,Iran - Pays Bas,Iran|Pays Bas
3958,1977-1978,Coupe du Monde 1978,Groupes phase 1,10,06/06/1978,04:15,Italie,Hongrie,3-1,"P.Rossi, R.Bettega, R.Benetti, A.Tóth",Estadio Mundialista (Mar del Plata),TF1,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981138,Hongrie - Italie,Hongrie|Italie
3959,1977-1978,Coupe du Monde 1978,Groupes phase 1,11,06/06/1978,01:45,Pologne,Tunisie,1-0,G.Lato,Estadio Gigante de Arroyito (Rosario),Antenne 2,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981145,Pologne - Tunisie,Pologne|Tunisie
3960,1977-1978,Coupe du Monde 1978,Groupes phase 1,12,06/06/1978,01:45,RFA,Mexique,6-0,"D.Müller, H.Müller, K.Rummenigge x2, H.Flohe x2",Estadio Olimpico Chateau Carreras (Cordoba),Antenne 2,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981144,Mexique - RFA,Mexique|RFA
3961,1977-1978,Coupe du Monde 1978,Groupes phase 1,14,07/06/1978,22:45,Brésil,Espagne,0-0,,Estadio Mundialista (Mar del Plata),TF1,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981151,Brésil - Espagne,Brésil|Espagne
3962,1977-1978,Coupe du Monde 1978,Groupes phase 1,20,10/06/1978,01:45,RFA,Tunisie,0-0,,Estadio Olimpico Chateau Carreras (Cordoba),Antenne 2,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,https://www.transfermarkt.com/spielbericht/index/spielbericht/981146,RFA - Tunisie,RFA|Tunisie
3963,1977-1978,Coupe du Monde 1978,Groupes phase 1,22,11/06/1978,22:45,Brésil,Autriche,1-0,R.Dinamite,Estadio Mundialista (Mar del Plata),TF1,Français,MP4,Coupe du Monde,,,,03/06/2025 11:08,,Autriche - Brésil,Autriche|Brésil
3964,1977-1978,Coupe du Monde 1978,Groupes phase 1,24,11/06/1978,22:45,Pays Bas,Ecosse,2-3,"P.Rensenbrik, J.Rep, K.Dalglish, A.Gemmill x2",Estadio Ciudad de Mendoza (Mendoza),Antenne 2,Français,AVI,Coupe du Monde,,,,03/06/2025 11:08,,Ecosse - Pays Bas,Ecosse|Pays Bas
3965,1977-1978,Coupe du Monde 1978,Finale,38,25/06/1978,20:00,Pays Bas,Argentine,1-3 a.p.,"D.Nanninga, M.Kempes x2, R.Bertoni",Estadio Monumental (Buenos Aires),Inconnu,Anglais,MP4,Coupe du Monde,,,,03/06/2025 11:08,,Argentine - Pays Bas,Argentine|Pays Bas
